"","Var1","Freq","meanwage","Occupation","percentshare"
"56","61",4370,0.851507346409701,"Cultivators",4.467
"39","40",9541,2.12195542525032,"Merchants and Shopkeepers, Wholesale and Retail Trade",9.753
"57","62",1369,2.50594903946817,"Farmers, Other than Cultivators",1.399
"52","56",566,5.76465921451194,"Hair Dressers, Barbers, Beauticians and Related Workers",0.579
"46","50",765,6.84624118127903,"Hotel and Restaurant Keepers",0.782
"51","55",753,8.46756976262288,"Launderers, DryCleaners and Pressers",0.77
"44","45",77,14.3173892002435,"Money Lenders and Pawn Brokers",0.079
"63","68",430,14.860366510834,"Fishermen and Related Workers",0.44
"62","67",15,17.2888576779026,"Hunters and Related Workers",0.015
"73","80",506,17.8707625435051,"ShoeMakers and Leather Goods Makers",0.517
"19","18",149,18.2314643379246,"Composers and Performing Artists",0.152
"43","44",680,18.3907010572794,"Insurance, Real Estates, Securities and Business Service Salesmen and Auctioneers",0.695
"72","79",2804,18.7018072275457,"Tailors, Dress Makers, Sewers, Upholsterers and Related Workers",2.866
"71","78",1376,19.9530990051633,"Tobacco Preparers and Tobacco Product Makers",1.407
"49","53",1738,22.0322104545092,"Maids and Related House Keeping Services Workers",1.777
"84","91",222,22.0592441165606,"Paper and Paper Board Product Makers",0.227
"42","43",4405,22.2519425560551,"Salesmen, Shop Assistants and Related Workers",4.503
"58","63",3357,23.005749455334,"Agricultural Labourers",3.432
"82","89",382,23.40552013192,"Glass Formers, Potters and Related Workers",0.39
"87","94",645,24.2606510031967,"Production and Related Workers",0.659
"25","24",1841,24.2856629849319,"Working Proprietors, Directors and Managers, Mining Construction, Manufacturing and Related Concerns",1.882
"70","77",1457,24.4634867932942,"Food and Beverage Processors",1.489
"23","22",768,24.5229128830417,"Working Proprietors, Directors and Managers, Wholesale and Retail Trade",0.785
"81","88",924,24.9617844720852,"Jewellery and Precious Metal Workers and Metal Engravers (Except Printing)",0.945
"20","19",323,26.6057097149342,"Professional Workers",0.33
"74","81",1362,30.3831178984816,"Carpenters, Cabinet and Related Wood Workers",1.392
"60","65",382,30.5487577520398,"Other Farm Workers",0.39
"61","66",180,30.5798701164186,"Forestry Workers",0.184
"27","26",511,30.6918465098697,"Working Proprietors, Directors and Managers, Other Services",0.522
"75","82",185,30.9367367007951,"Stone Cutters and Carvers",0.189
"45","49",183,31.85754942516,"Sales Workers",0.187
"88","95",2361,33.3527399837074,"Bricklayers and Other Construction Workers",2.413
"18","17",170,34.9379842813144,"Sculptors, Painters, Photographers and Related Creative Artists",0.174
"26","25",282,35.4270147119643,"Working Proprietors, Directors, Managers and Related Executives, Transport, Storage and Communication",0.288
"59","64",269,35.650625382436,"Plantation Labourers and Related Workers",0.275
"48","52",1096,35.6805468267856,"Cooks, Waiters, Bartenders and Related Workers (Domestic and Institutional)",1.12
"15","14",351,37.224520732457,"Jurists",0.359
"54","59",244,38.6397567018391,"Service Workers",0.249
"83","90",346,40.1187733945655,"Rubber and Plastics Products Makers",0.354
"86","93",373,41.9580930874562,"Painting",0.381
"66","73",301,43.0658791395279,"Wood Preparation Workers and Paper Makers",0.308
"92","99",4123,44.5130387591538,"Labourers",4.215
"68","75",4739,44.6289258055967,"Spinners, Weavers, Knitting, Dyers and Related Workers",4.844
"85","92",672,44.9709876320137,"Printers and Related Workers",0.687
"47","51",65,45.1907697762354,"House Keepers, Matrons and Stewards (Domestic and Institutional)",0.066
"40","41",480,47.536567368835,"Manufacturers' Agents",0.491
