"","Var1","X","Freq","meanwage","Occupation.x","percentshare","rank","percentile","Freq.x","meanwage.x","Occupation.x","percentshare.x","Freq.y","meanwage.y","Occupation.y","percentshare.y","Occupation.y","percentchange","meanwagechange"
"46",61,56,90500,1.00639952174744,"Cultivators",43.471,1,0.0108695652173913,98897,1.12669195336332,"Cultivators",45.052,65774,4.66300556401302,"Cultivators",35.882,"Cultivators",-0.334924214081317,3.5363136106497
"47",62,57,11418,1.29831574095505,"Farmers, Other than Cultivators",5.485,2,0.0217391304347826,11277,0.288867486441336,"Farmers, Other than Cultivators",5.137,9699,4.52003823967332,"Farmers, Other than Cultivators",5.291,"Farmers, Other than Cultivators",-0.139930832668263,4.23117075323198
"41",55,51,910,2.29642450518432,"Launderers, DryCleaners and Pressers",0.437,3,0.0326086956521739,713,1.55226972175656,"Launderers, DryCleaners and Pressers",0.325,430,18.2922836585399,"Launderers, DryCleaners and Pressers",0.235,"Launderers, DryCleaners and Pressers",-0.396914446002805,16.7400139367833
"42",56,52,738,2.59795985899389,"Hair Dressers, Barbers, Beauticians and Related Workers",0.354,4,0.0434782608695652,600,2.31895688311688,"Hair Dressers, Barbers, Beauticians and Related Workers",0.273,432,23.3181205027092,"Hair Dressers, Barbers, Beauticians and Related Workers",0.236,"Hair Dressers, Barbers, Beauticians and Related Workers",-0.28,20.9991636195923
"17",26,27,174,3.53517330523906,"Working Proprietors, Directors and Managers, Other Services",0.084,5,0.0543478260869565,191,2.7311373736596,"Working Proprietors, Directors and Managers, Other Services",0.087,207,11.9857837458318,"Working Proprietors, Directors and Managers, Other Services",0.113,"Working Proprietors, Directors and Managers, Other Services",0.0837696335078534,9.25464637217217
"29",40,39,4703,3.78888465715249,"Merchants and Shopkeepers, Wholesale and Retail Trade",2.259,6,0.0652173913043478,6583,0.57713422748767,"Merchants and Shopkeepers, Wholesale and Retail Trade",2.999,5151,5.26653265992708,"Merchants and Shopkeepers, Wholesale and Retail Trade",2.81,"Merchants and Shopkeepers, Wholesale and Retail Trade",-0.217530001519064,4.68939843243941
"16",25,26,74,3.87992050132836,"Working Proprietors, Directors, Managers and Related Executives, Transport, Storage and Communication",0.036,7,0.0760869565217391,182,6.11411864136077,"Working Proprietors, Directors, Managers and Related Executives, Transport, Storage and Communication",0.083,177,31.7673389539103,"Working Proprietors, Directors, Managers and Related Executives, Transport, Storage and Communication",0.097,"Working Proprietors, Directors, Managers and Related Executives, Transport, Storage and Communication",-0.0274725274725275,25.6532203125495
"13",22,23,181,4.27611286946921,"Working Proprietors, Directors and Managers, Wholesale and Retail Trade",0.087,8,0.0869565217391304,393,1.80494405368835,"Working Proprietors, Directors and Managers, Wholesale and Retail Trade",0.179,253,34.0849062086549,"Working Proprietors, Directors and Managers, Wholesale and Retail Trade",0.138,"Working Proprietors, Directors and Managers, Wholesale and Retail Trade",-0.356234096692112,32.2799621549666
"62",79,72,1563,4.86196606096732,"Tailors, Dress Makers, Sewers, Upholsterers and Related Workers",0.751,9,0.0978260869565217,1719,1.90567938868721,"Tailors, Dress Makers, Sewers, Upholsterers and Related Workers",0.783,1260,46.376495613302,"Tailors, Dress Makers, Sewers, Upholsterers and Related Workers",0.687,"Tailors, Dress Makers, Sewers, Upholsterers and Related Workers",-0.267015706806283,44.4708162246148
"63",80,73,385,6.05885841676359,"ShoeMakers and Leather Goods Makers",0.185,10,0.108695652173913,273,6.46498534206417,"ShoeMakers and Leather Goods Makers",0.124,182,51.3744373162278,"ShoeMakers and Leather Goods Makers",0.099,"ShoeMakers and Leather Goods Makers",-0.333333333333333,44.9094519741637
"52",67,62,31,6.58840551750748,"Hunters and Related Workers",0.015,11,0.119565217391304,20,0,"Hunters and Related Workers",0.009,19,24.5066298389439,"Hunters and Related Workers",0.01,"Hunters and Related Workers",-0.05,24.5066298389439
"53",68,63,886,7.00889554389177,"Fishermen and Related Workers",0.426,12,0.130434782608696,965,2.38873876337011,"Fishermen and Related Workers",0.44,873,72.0521483693377,"Fishermen and Related Workers",0.476,"Fishermen and Related Workers",-0.0953367875647668,69.6634096059676
"50",65,60,1883,7.26529252312018,"Other Farm Workers",0.904,13,0.141304347826087,1029,7.14424937937127,"Other Farm Workers",0.469,998,79.145281880328,"Other Farm Workers",0.544,"Other Farm Workers",-0.0301263362487852,72.0010325009567
"33",44,43,146,7.94274297525735,"Insurance, Real Estates, Securities and Business Service Salesmen and Auctioneers",0.07,14,0.152173913043478,123,1.73044676441664,"Insurance, Real Estates, Securities and Business Service Salesmen and Auctioneers",0.056,184,46.7613307619381,"Insurance, Real Estates, Securities and Business Service Salesmen and Auctioneers",0.1,"Insurance, Real Estates, Securities and Business Service Salesmen and Auctioneers",0.495934959349593,45.0308839975215
"74",91,84,39,8.28576855988869,"Paper and Paper Board Product Makers",0.019,15,0.16304347826087,40,18.00841641739,"Paper and Paper Board Product Makers",0.018,28,66.1825119420883,"Paper and Paper Board Product Makers",0.015,"Paper and Paper Board Product Makers",-0.3,48.1740955246982
"72",89,82,900,8.52182889458886,"Glass Formers, Potters and Related Workers",0.432,16,0.173913043478261,765,108.083354492993,"Glass Formers, Potters and Related Workers",0.348,498,96.3829509202004,"Glass Formers, Potters and Related Workers",0.272,"Glass Formers, Potters and Related Workers",-0.349019607843137,-11.7004035727922
"32",43,42,1895,8.89412880218421,"Salesmen, Shop Assistants and Related Workers",0.91,17,0.184782608695652,1918,3.95177254440906,"Salesmen, Shop Assistants and Related Workers",0.874,1455,70.6896734191947,"Salesmen, Shop Assistants and Related Workers",0.794,"Salesmen, Shop Assistants and Related Workers",-0.241397288842544,66.7379008747857
"77",94,87,1125,9.81902007821865,"Production and Related Workers",0.54,18,0.195652173913043,1029,3.70151771953474,"Production and Related Workers",0.469,800,43.125706156073,"Production and Related Workers",0.436,"Production and Related Workers",-0.222546161321672,39.4241884365382
