"","Var1","X","Freq","meanwage","Occupation.x","percentshare","rank","percentile","Freq.x","meanwage.x","Occupation.x","percentshare.x","Freq.y","meanwage.y","Occupation.y","percentshare.y","Occupation.y","percentchange","meanwagechange"
"46",61,56,4370,0.0951853538170354,"Cultivators",4.467,1,0.0108695652173913,4370,0.0951853538170354,"Cultivators",4.467,4065,0.261903173619074,"Cultivators",3.706,"Cultivators",-6.97940503432494,175.150706612387
"29",40,39,9541,0.237201803117794,"Merchants and Shopkeepers, Wholesale and Retail Trade",9.753,2,0.0217391304347826,9541,0.237201803117794,"Merchants and Shopkeepers, Wholesale and Retail Trade",9.753,8463,1.09685600807386,"Merchants and Shopkeepers, Wholesale and Retail Trade",7.716,"Merchants and Shopkeepers, Wholesale and Retail Trade",-11.2986060161409,362.414700755524
"47",62,57,1369,0.280126351199405,"Farmers, Other than Cultivators",1.399,3,0.0326086956521739,1369,0.280126351199405,"Farmers, Other than Cultivators",1.399,1337,0.597223517651803,"Farmers, Other than Cultivators",1.219,"Farmers, Other than Cultivators",-2.33747260774288,113.197906978296
"42",56,52,566,0.644399756833033,"Hair Dressers, Barbers, Beauticians and Related Workers",0.579,4,0.0434782608695652,566,0.644399756833033,"Hair Dressers, Barbers, Beauticians and Related Workers",0.579,411,3.40358598785737,"Hair Dressers, Barbers, Beauticians and Related Workers",0.375,"Hair Dressers, Barbers, Beauticians and Related Workers",-27.3851590106007,428.179278742227
"36",50,46,765,0.765303895385603,"Hotel and Restaurant Keepers",0.782,5,0.0543478260869565,765,0.765303895385603,"Hotel and Restaurant Keepers",0.782,569,2.11925946159098,"Hotel and Restaurant Keepers",0.519,"Hotel and Restaurant Keepers",-25.6209150326797,176.917375485613
"41",55,51,753,0.946543358931737,"Launderers, DryCleaners and Pressers",0.77,6,0.0652173913043478,753,0.946543358931737,"Launderers, DryCleaners and Pressers",0.77,585,2.7302282214682,"Launderers, DryCleaners and Pressers",0.533,"Launderers, DryCleaners and Pressers",-22.3107569721116,188.441960498199
"34",45,44,77,1.60046271181044,"Money Lenders and Pawn Brokers",0.079,7,0.0760869565217391,77,1.60046271181044,"Money Lenders and Pawn Brokers",0.079,61,1.77268466175565,"Money Lenders and Pawn Brokers",0.056,"Money Lenders and Pawn Brokers",-20.7792207792208,10.760759914887
"53",68,63,430,1.6611591786596,"Fishermen and Related Workers",0.44,8,0.0869565217391304,430,1.6611591786596,"Fishermen and Related Workers",0.44,441,4.71318827514702,"Fishermen and Related Workers",0.402,"Fishermen and Related Workers",2.55813953488372,183.728876539701
"52",67,62,15,1.93262693751526,"Hunters and Related Workers",0.015,9,0.0978260869565217,15,1.93262693751526,"Hunters and Related Workers",0.015,5,15.6628978170509,"Hunters and Related Workers",0.005,"Hunters and Related Workers",-66.6666666666667,710.446005538363
"63",80,73,506,1.99767490304811,"ShoeMakers and Leather Goods Makers",0.517,10,0.108695652173913,506,1.99767490304811,"ShoeMakers and Leather Goods Makers",0.517,414,6.45341521282919,"ShoeMakers and Leather Goods Makers",0.377,"ShoeMakers and Leather Goods Makers",-18.1818181818182,223.046317645698
"9",18,19,149,2.03799578585555,"Composers and Performing Artists",0.152,11,0.119565217391304,149,2.03799578585555,"Composers and Performing Artists",0.152,120,6.09938993485681,"Composers and Performing Artists",0.109,"Composers and Performing Artists",-19.4630872483221,199.283736364366
"33",44,43,680,2.05579598867983,"Insurance, Real Estates, Securities and Business Service Salesmen and Auctioneers",0.695,12,0.130434782608696,680,2.05579598867983,"Insurance, Real Estates, Securities and Business Service Salesmen and Auctioneers",0.695,668,4.59171688789272,"Insurance, Real Estates, Securities and Business Service Salesmen and Auctioneers",0.609,"Insurance, Real Estates, Securities and Business Service Salesmen and Auctioneers",-1.76470588235294,123.35469634034
"62",79,72,2804,2.09057284764214,"Tailors, Dress Makers, Sewers, Upholsterers and Related Workers",2.866,13,0.141304347826087,2804,2.09057284764213,"Tailors, Dress Makers, Sewers, Upholsterers and Related Workers",2.866,2592,5.20885355117797,"Tailors, Dress Makers, Sewers, Upholsterers and Related Workers",2.363,"Tailors, Dress Makers, Sewers, Upholsterers and Related Workers",-7.56062767475036,149.159150663073
